role,content
system,You are a crowdsource system user.
user,"OVERVIEW
Matching is a crucial element of integrating structured and semi-structured data. For instance, when multiple organizations are merged, both parties have to share information to be fused together into a new integrated system. Matching schemata is the first step in this process. Schema matching aims to find correspondences between concepts describing the meaning of data sources. Human-in-the-loop data integration, and specifically in matching, has been recently challenged by the big data era. With richer data source variety, bigger volumes, and faster velocity, accessing and making use of humans’ input has become much harder. Acknowledging cognitive awareness in human matching, InCognitoMatch (Introducing Cognitive Biases to Crowdsourced Matching) is a handy tool to validate, annotate, and correct correspondences using the crowd.

THE TASK
The following information provides a short overview and instructions necessary for participating in the task. Several element pairs will be introduced. Each pair consists of two terms, one from a candidate schema and one from target schema. To accompany each pair, additional properties will be introduced including term names and types, instance examples, schemata hierarchy, algorithmic matching result and a majority decision of the other participants. Your task is to provide a feedback, consists of a confidence level on a [0, 100] scale. a confidence level of 0 indicates an absolute no match, while a confidence level of 100 indicates an absolute match.
Please note that you will not be able to choose a confidence level of 50. Make sure to provide the answer in the following format: '<integer>, <time>', Where <time> is the time (seconds) it took you, as a human matcher, to read and decide for the question. No further text is required.
Are you ready?"
assistant,"Yes, I am ready."
user,"Make sure to provide an integer between 1 and 100, while 50 ('I'm not sure') is not a valid answer.
The answer must be the following format: '<integer>, <time>', Where <time> is the time (seconds) it took you, as a human matcher, to read and decide for the question. No further text is required: 

Term A: col_name: Contact; col_type: none; Instances: ; Hierarchy: PurchaseOrder.DeliverTo.Contact; Siblings: Address;
#
Term B: col_name: contactName; col_type: str; Instances: Eden Barzilay, shiran elad, Rani Rahav, moshe ve banav, Ms Einat Hadar; Hierarchy: PO.Contact.contactName; Siblings: contactFunctionCode, contactEmail, contactPhone;
"
assistant,"80, 15 seconds."
user,"INVALID TIME! MUST BE A POSITIVE INTEGER ONLY, WITHOUT ANY OTHER WORDS! TRY AGAIN!
Make sure to provide an integer between 1 and 100, while 50 ('I'm not sure') is not a valid answer.
The answer must be the following format: '<integer>, <time>', Where <time> is the time (seconds) it took you, as a human matcher, to read and decide for the question. No further text is required: 

Term A: col_name: Contact; col_type: none; Instances: ; Hierarchy: PurchaseOrder.DeliverTo.Contact; Siblings: Address;
#
Term B: col_name: contactName; col_type: str; Instances: Eden Barzilay, shiran elad, Rani Rahav, moshe ve banav, Ms Einat Hadar; Hierarchy: PO.Contact.contactName; Siblings: contactFunctionCode, contactEmail, contactPhone;
"
assistant,"90, 12"
user,"Make sure to provide an integer between 1 and 100, while 50 ('I'm not sure') is not a valid answer.
The answer must be the following format: '<integer>, <time>', Where <time> is the time (seconds) it took you, as a human matcher, to read and decide for the question. No further text is required: 

Term A: col_name: Contact; col_type: none; Instances: ; Hierarchy: PurchaseOrder.DeliverTo.Contact; Siblings: Address;
#
Term B: col_name: contactEmail; col_type: str; Instances: marinab@hotmail.com, ranir@gmail.com, moshban@gmail.com, moshbd@hotmail.com, shirane@mail.com; Hierarchy: PO.Contact.contactEmail; Siblings: contactName, contactFunctionCode, contactPhone;
"
assistant,"100, 10.5"
user,"Make sure to provide an integer between 1 and 100, while 50 ('I'm not sure') is not a valid answer.
The answer must be the following format: '<integer>, <time>', Where <time> is the time (seconds) it took you, as a human matcher, to read and decide for the question. No further text is required: 

Term A: col_name: telephone; col_type: str; Instances: (458) 568-4587, 03-9823373, (623) 643-0399, (877) 647-0788, (623) 453-2670; Hierarchy: PurchaseOrder.InvoiceTo.Contact.telephone; Siblings: contactName, companyName, e-mail;
#
Term B: col_name: contactPhone; col_type: str; Instances: 08-293847, 03-234289, 08-354682, 03-234756, 04-293874; Hierarchy: PO.Contact.contactPhone; Siblings: contactName, contactFunctionCode, contactEmail;
"
assistant,"60, 14.5"
user,"Make sure to provide an integer between 1 and 100, while 50 ('I'm not sure') is not a valid answer.
The answer must be the following format: '<integer>, <time>', Where <time> is the time (seconds) it took you, as a human matcher, to read and decide for the question. No further text is required: 

Term A: col_name: Contact; col_type: none; Instances: ; Hierarchy: PurchaseOrder.InvoiceTo.Contact; Siblings: Address;
#
Term B: col_name: contactName; col_type: str; Instances: Eden Barzilay, shiran elad, Rani Rahav, moshe ve banav, Ms Einat Hadar; Hierarchy: PO.Contact.contactName; Siblings: contactFunctionCode, contactEmail, contactPhone;
"
assistant,"80, 13.5"
